index,generated_node_name,cell_id,x,y,z,cell_type,cell_type_distribution_weight,cell_type_distribution_probability,color_r,color_g,color_b,color_a,target_node_name,target_geometry_name,marker_shape,source_api_url,source_file_url,source_scene_node
0,CL_0002131_Ventricular_Cardiomycoyte_00000,CL_0002131,0.0447347,0.445731,-0.0109171,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
1,CL_0002131_Ventricular_Cardiomycoyte_00001,CL_0002131,0.00853693,0.448135,-0.0310499,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
2,CL_0002131_Ventricular_Cardiomycoyte_00002,CL_0002131,0.0668619,0.39173,-0.0337191,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
3,CL_0002131_Ventricular_Cardiomycoyte_00003,CL_0002131,0.0436948,0.462789,-0.0180157,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
4,CL_0002131_Ventricular_Cardiomycoyte_00004,CL_0002131,0.0191304,0.416096,-0.0577427,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
5,CL_0002131_Ventricular_Cardiomycoyte_00005,CL_0002131,0.0373946,0.459729,-0.0152192,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
6,CL_0002131_Ventricular_Cardiomycoyte_00006,CL_0002131,0.0512106,0.395081,-0.0423628,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
7,CL_0002131_Ventricular_Cardiomycoyte_00007,CL_0002131,0.0570941,0.435268,-0.0233002,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
8,CL_0002131_Ventricular_Cardiomycoyte_00008,CL_0002131,0.0549338,0.414517,-0.0300683,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
9,CL_0002131_Ventricular_Cardiomycoyte_00009,CL_0002131,0.0356179,0.399893,-0.0539293,Ventricular Cardiomycoyte,18375.859,0.45175152904905563,250,190,190,255,VH_F_right_ventricle,VH_F_right_ventricle,sphere,https://apps.humanatlas.io/api/v1/mesh-3d-cell-population,https://cdn.humanatlas.io/hra-kg--staging/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb,VH_F_right_ventricle
