index,as_label,cell_type,cell_id,organ_percentage,cell_count,x,y,z,hex_color,marker_shape
0,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0126651,0.500958,0.0127435,#70A5A8,sphere
1,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0226065,0.476973,0.0624303,#70A5A8,sphere
2,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0266076,0.437729,0.0441713,#70A5A8,sphere
3,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0347329,0.476255,0.019591,#70A5A8,sphere
4,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0130836,0.513064,0.0203875,#70A5A8,sphere
5,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0159784,0.441808,0.021706,#70A5A8,sphere
6,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.00774201,0.502024,0.0517886,#70A5A8,sphere
7,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.00662871,0.484188,0.0121018,#70A5A8,sphere
8,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0117901,0.478981,0.00600024,#70A5A8,sphere
9,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.00894615,0.498603,0.0501188,#70A5A8,sphere
10,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0343367,0.449266,0.035268,#70A5A8,sphere
11,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.00643087,0.492538,0.0145352,#70A5A8,sphere
12,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.00115736,0.455,0.0182025,#70A5A8,sphere
13,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0141236,0.463969,0.00475538,#70A5A8,sphere
14,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0404187,0.482481,0.0379495,#70A5A8,sphere
15,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0181352,0.519935,0.023273,#70A5A8,sphere
16,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0363129,0.468751,0.0239472,#70A5A8,sphere
17,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0166656,0.515257,0.0181306,#70A5A8,sphere
18,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0253653,0.446499,0.0267529,#70A5A8,sphere
19,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.020491,0.440166,0.0491625,#70A5A8,sphere
20,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0112921,0.504276,0.0354502,#70A5A8,sphere
21,right cardiac atrium,fibroblast,CL:0000057,10.9593,145614,-0.0133972,0.510128,0.0416474,#70A5A8,sphere
